,cluster
TCGA-VQ-A91N-01,0
TCGA-HU-A4GJ-01,1
TCGA-VQ-A925-01,0
TCGA-FP-8099-01,0
TCGA-BR-6802-01,0
TCGA-VQ-AA6I-01,0
TCGA-D7-6520-01,1
TCGA-CG-5733-11,1
TCGA-CD-5804-01,1
TCGA-HU-A4GF-01,0
TCGA-BR-4361-01,0
TCGA-VQ-AA6J-01,0
TCGA-IN-A6RL-01,0
TCGA-HF-7133-01,0
TCGA-VQ-AA6B-01,0
TCGA-BR-8296-01,1
TCGA-VQ-A91W-01,0
TCGA-ZA-A8F6-01,1
TCGA-HU-8244-01,0
TCGA-BR-8590-01,1
TCGA-BR-8483-01,0
TCGA-ZQ-A9CR-01,0
TCGA-B7-A5TJ-01,0
TCGA-CD-8525-01,0
TCGA-D7-6818-01,1
TCGA-HU-A4GX-01,0
TCGA-CD-8530-01,1
TCGA-CG-5720-01,0
TCGA-CD-8531-01,0
TCGA-BR-8373-01,1
TCGA-SW-A7EB-01,1
TCGA-CG-5720-11,1
TCGA-IN-A7NR-01,1
TCGA-BR-A4J8-01,1
TCGA-CG-5722-11,1
TCGA-R5-A7ZE-01,0
TCGA-HU-A4H8-01,0
TCGA-3M-AB46-01,0
TCGA-CD-A4MJ-01,0
TCGA-VQ-AA6F-01,0
TCGA-VQ-AA69-01,0
TCGA-BR-A4J4-01,0
TCGA-BR-A4J9-01,1
TCGA-FP-8210-01,1
TCGA-VQ-AA6A-01,0
TCGA-EQ-8122-01,1
TCGA-F1-A72C-01,0
TCGA-D7-6817-01,1
TCGA-CG-4476-01,1
TCGA-CG-5732-01,0
TCGA-BR-A4QM-01,0
TCGA-BR-8591-01,0
TCGA-BR-8486-01,0
TCGA-BR-4280-01,0
TCGA-RD-A7BT-01,0
TCGA-CG-4460-01,1
TCGA-BR-7851-11,1
TCGA-HF-7131-01,0
TCGA-BR-6801-01,0
TCGA-VQ-A8PC-01,1
TCGA-HU-8604-01,0
TCGA-D7-8572-01,1
TCGA-CD-5800-01,0
TCGA-VQ-A94O-01,0
TCGA-VQ-A94T-01,0
TCGA-RD-A8N4-01,1
TCGA-HU-8608-01,0
TCGA-VQ-A91X-01,0
TCGA-KB-A93G-01,1
TCGA-D7-8570-01,0
TCGA-CD-8524-01,1
TCGA-R5-A7O7-01,0
TCGA-CD-A4MI-01,1
TCGA-BR-4370-01,1
TCGA-VQ-A94R-01,1
TCGA-CD-8535-01,0
TCGA-BR-7707-01,0
TCGA-HU-A4GU-01,0
TCGA-CD-5799-01,0
TCGA-KB-A93H-01,0
TCGA-CG-4444-01,0
TCGA-BR-A4J7-01,1
TCGA-BR-4357-01,0
TCGA-BR-A4PE-01,0
TCGA-BR-8372-01,0
TCGA-HU-A4GC-01,0
TCGA-CG-5734-01,0
TCGA-RD-A8N9-01,1
TCGA-D7-A6F2-01,0
TCGA-VQ-A92D-01,0
TCGA-HU-8610-01,0
TCGA-CD-8533-01,1
TCGA-CG-4474-01,0
TCGA-CD-A487-01,1
TCGA-BR-A4J5-01,1
TCGA-BR-8487-01,0
TCGA-CG-5719-01,1
TCGA-BR-7717-11,1
TCGA-IN-8663-11,0
TCGA-BR-8687-01,1
TCGA-CG-5718-01,0
TCGA-F1-A448-01,0
TCGA-RD-A8N5-01,0
TCGA-BR-6566-01,0
TCGA-FP-7916-01,1
TCGA-BR-7715-11,1
TCGA-BR-8368-01,0
TCGA-HU-A4GN-01,0
TCGA-HU-A4G8-01,0
TCGA-BR-7957-01,1
TCGA-VQ-A8PH-01,0
TCGA-HU-8243-01,0
TCGA-VQ-A91E-01,0
TCGA-HF-7134-01,0
TCGA-VQ-AA6D-01,0
TCGA-D7-5577-01,0
TCGA-BR-A4CS-01,0
TCGA-BR-6453-01,1
TCGA-FP-8631-01,0
TCGA-BR-7723-01,1
TCGA-3M-AB47-01,1
TCGA-B7-5816-01,0
TCGA-HU-A4G2-01,0
TCGA-BR-6564-11,1
TCGA-IN-A6RS-01,0
TCGA-HU-A4G9-01,0
TCGA-CD-8532-01,1
TCGA-IN-7808-01,1
TCGA-BR-6852-01,0
TCGA-BR-6455-01,0
TCGA-BR-6453-11,1
TCGA-IN-A6RN-01,0
TCGA-BR-8366-01,1
TCGA-HU-A4H2-01,0
TCGA-CG-4477-01,1
TCGA-BR-A4IZ-01,1
TCGA-BR-4279-01,1
TCGA-VQ-A8E7-01,0
TCGA-D7-8578-01,1
TCGA-VQ-A8PJ-01,0
TCGA-CD-8534-01,1
TCGA-BR-8060-01,1
TCGA-VQ-A94U-01,1
TCGA-BR-7901-01,1
TCGA-FP-7998-01,1
TCGA-VQ-A91K-01,0
TCGA-VQ-A91V-01,0
TCGA-CG-5723-01,0
TCGA-BR-4362-01,0
TCGA-BR-8678-01,0
TCGA-HU-A4H3-01,0
TCGA-CD-A48C-01,0
TCGA-CG-4441-01,0
TCGA-FP-7735-01,0
TCGA-BR-A4J2-01,1
TCGA-VQ-A91Y-01,1
TCGA-VQ-A8P5-01,0
TCGA-BR-6457-11,1
TCGA-BR-4294-01,1
TCGA-BR-7197-01,1
TCGA-CD-5803-01,1
TCGA-D7-A4YU-01,1
TCGA-D7-5578-01,0
TCGA-CG-4472-01,1
TCGA-BR-4292-01,0
TCGA-IN-AB1X-11,1
TCGA-FP-A8CX-01,0
TCGA-B7-A5TI-01,0
TCGA-CG-5716-01,1
TCGA-IN-AB1X-01,0
TCGA-VQ-AA6G-01,0
TCGA-CD-A4MH-01,0
TCGA-D7-A74A-01,0
TCGA-CD-A486-01,0
TCGA-HU-A4GY-01,1
TCGA-BR-6458-01,0
TCGA-HU-8238-01,0
TCGA-BR-4256-01,1
TCGA-BR-8592-01,1
TCGA-CG-5728-11,1
TCGA-BR-4363-01,1
TCGA-RD-A8N0-01,1
TCGA-VQ-A8PO-01,0
TCGA-IP-7968-01,0
TCGA-BR-8078-01,0
TCGA-BR-6709-01,0
TCGA-HF-7132-01,1
TCGA-D7-A6EZ-01,0
TCGA-BR-6802-11,1
TCGA-HF-A5NB-01,0
TCGA-HU-A4GN-11,1
TCGA-HJ-7597-01,0
TCGA-RD-A8N1-01,1
TCGA-BR-A452-01,0
TCGA-BR-7716-11,1
TCGA-BR-8680-01,0
TCGA-VQ-A91A-01,0
TCGA-HU-A4H4-01,0
TCGA-VQ-A924-01,0
TCGA-HU-A4H5-01,0
TCGA-HU-A4GQ-01,1
TCGA-BR-8677-01,1
TCGA-HU-A4GP-01,0
TCGA-IN-AB1V-11,1
TCGA-D7-6522-01,1
TCGA-KB-A6F7-01,0
TCGA-BR-8690-01,0
TCGA-CG-5734-11,1
TCGA-CG-5730-11,1
TCGA-VQ-A8DV-01,0
TCGA-D7-6527-01,0
TCGA-BR-A4PD-01,0
TCGA-BR-8295-01,1
