,Subtype_0,Subtype_1,Subtype_2,Subtype_3
A2ML1,0.2444884762998583,-1.9693816366943744,-1.7009393254349578,-0.2444884762998583
FUT9,0.3993992870636452,-0.4447068861691818,-2.2410357274556554,-0.3993992870636452
LOC84740,-1.5508759929410496,1.154593433311187,-1.154593433311187,-2.408055792139176
PCSK1N,1.0008746674059523,-2.4360465489525702,-1.0008746674059523,-1.1888904890711969
GSTA1,-2.302266757614487,1.3032450432974454,-1.8695283959040945,-1.3032450432974454
MSLN,-1.3725409004637967,1.3725409004637967,-2.3453580091859756,-1.7846045087814113
KRT17,-1.3641824213455238,1.3641824213455238,-1.70506832432654,-2.375537340692562
SST,-0.7444845883154666,-2.3248315027811177,0.5316653882181269,-0.5316653882181269
GATA5,0.0528804914947125,-2.1472652822759,-0.7315189167092834,-0.0528804914947125
SOX21,0.14557790077593727,-1.9042205205396332,-1.6854698056820763,-0.14557790077593727
SLC34A2,-1.485936268310309,-2.4192630396333863,1.4756563162483634,-1.4756563162483634
SPRR1A,-0.10904222134009352,-1.8109695659601328,-1.757927070716999,0.10904222134009352
DPEP1,-1.9037127493069748,-0.5917672552216309,0.5917672552216309,-2.0437101067080876
SERPINB3,-0.4405363391234632,-2.1664998896891197,0.15931549509220294,-0.15931549509220294
CDH17,-2.0397313358348814,0.3265218299925635,-0.3265218299925635,-1.6826296851786247
NPSR1,-0.253324480106852,-2.2083182191130386,-0.49588922882789555,0.253324480106852
TM4SF4,-2.149429412312884,-0.4010974509148656,0.4010974509148656,-1.568942895761632
GABRP,0.2928632373071162,-2.250060625442389,-0.9438740838968016,-0.2928632373071162
PRSS21,-2.312748779422307,0.93869968265602,-0.93869968265602,-1.7099240853456816
KRT23,-1.0540603098672399,-2.172319477708681,1.0540603098672399,-1.999095591721939
C4orf7,-0.6671606780727404,-2.3620166109466076,0.6671606780727404,-1.223929742685296
SLC5A5,-0.6632149512682457,-2.321367950609018,-0.5618224023807313,0.5618224023807313
UPK1B,0.4577510678810814,-2.2913496860362477,-1.197710269812054,-0.4577510678810814
CST1,-1.3702511816421343,0.6499550609106165,-2.3308624697141704,-0.6499550609106165
COL11A1,0.8846967541478367,-0.8846967541478367,-2.3511717341099883,-1.5679553739542977
MMP3,-2.324581580631072,0.6623468371915427,-1.4144202859443409,-0.6623468371915427
SLC9A4,-0.4485947221609033,-1.6416940518503924,-2.1390015248816012,0.4485947221609033
HABP2,-2.2998072330725186,-1.6448198860585563,1.6448198860585563,-1.821035895507022
SLC15A1,-1.3812309881701101,0.32145375651916075,-0.32145375651916075,-2.182180994443426
C2orf40,0.9970717326917825,-2.354148718688166,-1.6429267900150946,-0.9970717326917825
SLCO1B3,-0.7013087840176986,-2.3721017139265124,0.7013087840176986,-1.2241926774964673
MYOC,-0.1750342261116791,-2.068764329195399,0.1750342261116791,-1.4482069145037428
MUC4,-0.8114921922449073,-1.1051419954134571,0.8114921922449073,-2.4069795409122663
C7,1.8752141920889105,-1.8752141920889105,-2.008020493195405,-2.0926841186914436
GUCY2C,-2.087643760711872,-1.0031807727539535,1.0031807727539535,-2.0757544034124242
NLRP2,-0.44473689377246034,-0.5751328088192332,-2.2783898699542213,0.44473689377246034
KRT16,0.41137065742420587,-2.2794784415495513,-1.1507435999536741,-0.41137065742420587
