,0,1,2,3
MIMAT0004565,-2.758288847581047,-4.110935696350349,-3.789831655619018,-3.8443864541939066
MIMAT0018068,-1.990438421894665,-1.5720807121119533,-1.4547012678590134,-1.4010330680247411
MIMAT0030019,-3.1154987230337543,-5.136170679929013,-3.4852417744238022,-2.071412303039716
MIMAT0019958,-4.025256230311359,-2.140554387723575,-2.9135363006861916,-4.229129310173924
MIMAT0019918,-2.8955568431653314,-1.4722371495765278,-3.311390033739542,-2.2267373014469922
MIMAT0018083,-1.7568284250124597,-1.2344980625368522,-2.2519337386995586,-2.2668555747985204
MIMAT0002875,-2.537384577105696,-1.0918585211765182,-2.7203306482070166,-3.271385639845327
MIMAT0009201,-3.928431814275757,-3.1796502890002767,-3.802048533337209,-3.660188335954209
MIMAT0003326,-4.27643597046817,-4.138583624567188,-5.422462399388623,-3.575808627319496
MIMAT0018360,-2.393984200675829,-0.200468844207854,-1.8086131978668554,-2.224270270477161
MIMAT0022698,-2.8803112073196084,-2.905000630603985,-2.279073854711731,-3.016300021951751
MIMAT0019737,-3.70875283801032,-4.3051854580017626,-4.086652251234036,-3.7950793641547773
MIMAT0031177,-1.7706160211652615,-1.3002907313302772,-2.2298789179226755,-2.0523968143686258
MIMAT0029782,-3.7650326810379195,-2.8992892989801557,-3.7420088672737366,-2.8179739947417866
MIMAT0018201,-3.5824205110657172,-3.0746587984957428,-4.8242299573144205,-3.978597612334865
MIMAT0002835,-4.542428663894558,-2.1383850361674877,-5.951585092378693,-5.137150999462197
MIMAT0015069,-3.9293081757555712,-3.9030701232627836,-4.777452298151414,-4.0386319023595725
MIMAT0027467,-3.4026312211482215,-4.569571076979235,-3.2654410170278654,-3.9593889533786015
MIMAT0019900,-4.477318286744927,-3.262512457844904,-4.404799884098982,-4.019272492180308
MIMAT0005930,-3.789643303376736,-3.4553652989532013,-3.9473022284180033,-3.5080938314875736
MIMAT0003287,-2.2369447866393593,-2.761819108203351,-1.8809142321459236,-2.5034298398247508
MIMAT0019201,-3.7610757613189127,-3.0355498690897114,-3.2508573659529816,-4.090727285286791
MIMAT0018356,-2.79705368733554,-4.533325636044772,-1.9623492173008166,-3.2505904820200207
MIMAT0005909,-2.024903366876822,-2.808331082758219,-2.2379851647908997,-1.9628350544950373
MIMAT0018993,-3.8818070678725705,-2.8031121651373874,-3.906364030963421,-4.714587372481102
MIMAT0022496,-3.334653905598709,-0.291440283296991,-3.5227859926729987,-2.8881212841201225
MIMAT0014994,-3.524903043199913,-1.7627844096676166,-2.992462644751208,-3.3934455576613
MIMAT0019229,-2.395231200229299,-4.232255285499808,-2.1666094628966754,-3.1448853017696528
MIMAT0005452,-4.605024828872135,-4.57226257281164,-5.818956278677037,-4.263087951583641
MIMAT0022292,-3.235150580131884,-1.547588035151373,-4.1242712263095775,-3.9457531857033623
MIMAT0002870,-3.7461914368143767,-5.44817068047406,-3.6484297747915315,-3.512882754099944
MIMAT0011159,-3.914945488944599,-2.5349061550834078,-3.947438695208656,-3.223843148999708
MIMAT0030017,-1.6901458398023366,-1.8260720681182074,-1.3243857907702816,-1.5160825056338338
MIMAT0018961,-3.6299351304429166,-3.757835132037799,-3.1370366021844953,-3.5706754320902925
MIMAT0026625,-3.636695851449675,-3.435916501724472,-3.275827424656268,-3.7417879442191717
MIMAT0019772,-3.7261990117662847,-2.357958039464141,-4.12260755890177,-3.4888301611781194
MIMAT0000430,-1.7684805964541708,-1.6584248589027557,-1.6671741928013284,-1.971236329261845
MIMAT0019026,-2.4367046541957373,-2.8622788050196712,-2.314536256589954,-2.2623811710941393
MIMAT0021022,-2.908864486754382,-3.9981570749972155,-3.3584878629903447,-3.381772245889638
MIMAT0017984,-3.991921146808781,-3.0553416885343383,-5.122845578161227,-4.562930564895966
MIMAT0003273,-3.578917078311535,-4.478590911879021,-3.4701762710465704,-3.6307967694108343
MIMAT0022928,-3.0488972060568766,-4.126440922130846,-3.485759440994592,-2.9745786229911046
MIMAT0019879,-4.03499606066355,-4.330596326689877,-4.773100676804007,-4.190020393058233
MIMAT0027682,-3.9792013999687,-3.185276003857283,-4.322853051039763,-4.227320670953041
MIMAT0019693,-2.990780645864064,-1.8456295307418322,-3.331520434896372,-4.283177161075994
MIMAT0019957,-2.754576406799206,-4.154414439507029,-2.5288336311612594,-3.117485609461816
MIMAT0002175,-3.036737232052505,-3.1769778732141054,-2.992922365646164,-3.2266510249881186
MIMAT0014987,-2.827606405964102,-0.4441316890624242,-1.824439501471256,-2.7955546865614953
MIMAT0022297,-4.72248143492087,-5.395183304635992,-4.741663929209531,-4.9724133021870855
MIMAT0003306,-3.66961892161243,-2.7386164835322733,-4.445559980776389,-3.3054288127687244
MIMAT0004488,-3.2834358986591243,-4.57226257281164,-3.7286037720203753,-3.364325926537832
MIMAT0026639,-4.06960601699879,-2.0113071312146635,-4.451244888010174,-4.400090636390813
MIMAT0019210,-3.723028390657297,-4.5814057259932275,-4.771258111581874,-3.9536907553514915
MIMAT0018983,-2.1469637249721356,-4.311844751325763,-2.701916216092318,-2.1978413526211584
MIMAT0027654,-3.5317625205257173,-1.5791163653355142,-5.22519506175141,-2.947265804157797
MIMAT0019706,-3.211248543403723,-2.139974229927175,-2.8678332584022703,-3.6475426232654615
MIMAT0015003,-2.392155135342491,0.13479587847593627,-2.1538382997352263,-2.402392577431217
MIMAT0025849,-2.308421310835313,-1.1102274846254772,-3.320469158346962,-2.0751875872723318
MIMAT0003309,-2.711725688530993,-1.8841109544027475,-3.229492516428138,-1.7439604496355183
