,Subtype_0,Subtype_1,Subtype_2,Subtype_3
XIRP2,-0.4625190788268697,-2.209813376617267,-0.2762266720771583,0.2762266720771583
ANK3,-1.7164366134681817,1.6701964029760432,-1.6701964029760432,-2.3329727533633617
MUC17,-1.2686173430751546,-0.5742162710761225,0.5742162710761225,-2.3242087162604963
SYNE2,-1.6530361019771942,1.6530361019771942,-1.6809590091051871,-2.348006234940579
FAT2,-2.1536833636623216,0.21893235138884165,-0.28734871119785427,-0.21893235138884165
GLI3,-1.685364602928894,-2.3816654717445873,1.3231474843025486,-1.3231474843025486
NBEA,0.1764209978576672,-2.1727638683523236,-1.1246838613426289,-0.1764209978576672
MDN1,-0.8578455484505656,-2.368912936546975,-1.4805705853418594,0.8578455484505656
NEB,-2.1335881743519236,1.8383875204578124,-1.8383875204578124,-1.9842912919227182
RNF213,-2.3139629959532804,1.4113533166807244,-1.8524012281434505,-1.4113533166807244
SDK1,-1.4395137282720283,0.5512641631168966,-2.2739646728571974,-0.5512641631168966
PREX2,-2.2651743259874766,0.32529459547816364,-0.32529459547816364,-0.8674522546084361
PCDH10,-0.9048979675842649,-2.382282404456534,0.9048979675842649,-1.4747462503778546
DNAH3,-1.5357423038688451,1.5357423038688451,-2.336784360344552,-1.7804071316910877
ERBB4,-0.7039209320443606,-2.3283538521467313,-1.4552211575917071,0.7039209320443606
VPS13B,-1.5143622234627836,0.9941614596778583,-2.3922010123498456,-0.9941614596778583
DOCK3,-2.3271618639587635,1.631542828536307,-1.631542828536307,-1.7610303546106172
PXDN,-2.158992310388304,1.7153079932082043,-2.0216129919953834,-1.7153079932082043
PTPRT,-0.09291925464330139,-2.151438126741058,0.09291925464330139,-0.5122471730335852
LRP2,-2.2823903054221515,0.7111795879213954,-1.6001540728231387,-0.7111795879213954
NAV3,-1.936542263484708,1.69556980988367,-2.225435375472317,-1.69556980988367
APOB,-2.2239931118835137,-0.8527667855757165,0.8527667855757165,-1.8273573976622501
APC,-1.7770334479029233,0.9492228355257852,-2.28406744798392,-0.9492228355257852
CMYA5,-0.915554982486548,-2.4103386273625445,0.8799648957037862,-0.8799648957037862
TG,-2.33059903960005,1.13881543980457,-1.13881543980457,-1.7714906841404423
ABCA12,-1.9521726408870839,0.2700385868138845,-0.2700385868138845,-1.7488213241280128
TRRAP,-2.0218007995661513,0.2518882618664785,-0.2518882618664785,-1.6312763625638595
PLXNA4,-1.490201613106956,1.490201613106956,-2.187082243349792,-2.045063915859546
MUC5B,-2.387901125895982,1.1668153228809914,-1.1668153228809914,-1.6298372764051943
ABCA13,-1.2217419639920715,1.2217419639920715,-2.1795192040828386,-2.0379919830384985
RELN,-1.4026297043345985,-2.440413531819157,1.2783118500005108,-1.2783118500005108
MUC6,-0.5699295791519632,-2.2279065366849475,-0.27848831708561833,0.27848831708561833
DNAH10,-0.36974458945767597,-2.271288192382867,-1.078861891381862,0.36974458945767597
ACVR2A,-1.6385284004894738,1.6385284004894738,-2.3224176087417154,-1.7694610352317834
DNAH8,-0.3978180708161979,-2.2593064021825575,0.3978180708161979,-0.5379300957577519
RIMS2,-1.0959717004330343,-2.3396275307116547,0.5570541739789655,-0.5570541739789655
HERC2,-0.46137414640275237,-2.2766166896266964,0.46137414640275237,-0.5420515927682611
RP1,-0.9964659342125183,-2.399489969583744,0.9964659342125183,-1.4853985525994606
DNAH7,-1.1906752545232109,-2.449156616934988,1.1906752545232109,-1.2051405575394385
NALCN,-1.5072206448338283,-2.4003884343649857,1.0287379004421369,-1.0287379004421369
CNTNAP5,-1.5137963969235786,-2.3318972132753184,1.5137963969235786,-1.7988921359552454
NRXN1,-1.0039449001882463,-2.417499319653297,0.8825791166988228,-0.8825791166988228
BAI3,-1.1906752545232109,-2.449156616934988,1.1906752545232109,-1.2051405575394385
TCHH,-1.7719723391432147,1.3838801067453956,-2.3505610636631347,-1.3838801067453956
CSMD2,-0.36974458945767597,-2.271288192382867,-1.078861891381862,0.36974458945767597
CACNA1E,-1.3799819548342565,0.1719265597703276,-0.1719265597703276,-2.0958666333906586
DST,-1.8358269446875861,1.8358269446875861,-2.018366555665045,-2.1073597900418104
REV3L,-0.2661968096646135,-2.1655470191634767,0.2661968096646135,-1.340576726148819
PCDH17,-1.474861882173302,-2.34885410864637,0.78295136954879,-0.78295136954879
NIPBL,-1.1747047764077445,-2.331337171639985,0.5550802789619013,-0.5550802789619013
FCGBP,0.9832253930787809,-2.2869736015224507,-0.9832253930787809,-1.7903076173534336
MYCBP2,-2.3271618639587635,1.631542828536307,-1.631542828536307,-1.7610303546106172
