,Subtype_0,Subtype_1,Subtype_2,Subtype_3
MIMAT0000429,-0.616237415286084,-2.1833707875835793,-0.14517102444858426,0.14517102444858426
MIMAT0018115,-0.6666937589057885,-2.1393047682482336,-0.03834743297779283,0.03834743297779283
MIMAT0005903,-0.7251493839062024,-2.118555092592959,-1.901095706180638,0.7251493839062024
MIMAT0003238,-2.150648317351276,-0.2609262060302544,-1.375631117765496,0.2609262060302544
MIMAT0022708,-0.4799033296192151,-2.216033156750813,-0.2859127947188078,0.2859127947188078
MIMAT0018086,-0.007152929317843851,-2.0448281413013794,-0.1397280530148405,0.007152929317843851
MIMAT0015053,-1.870223735954353,1.870223735954353,-2.049398378431337,-2.0578731246258473
MIMAT0003323,-1.8631117101997847,1.7804597774909452,-2.2369276185800326,-1.7804597774909452
MIMAT0005881,-1.8088090442723115,1.8088090442723115,-2.084288404644143,-2.060169640035743
MIMAT0004658,-1.3483585499653263,1.3483585499653263,-2.062477319850462,-2.173638946250837
MIMAT0019841,-1.6872595600313804,0.32212231823224335,-0.32212231823224335,-2.033741286561966
MIMAT0003220,-1.7353393581586953,1.3835557769726021,-1.3835557769726021,-2.3647093255444287
MIMAT0004565,1.7332418459422552,-2.2727744334024576,-1.7332418459422552,-1.8249071254150455
MIMAT0018068,-2.20766082434193,-0.6406714504168824,-0.20101816433996064,0.20101816433996064
MIMAT0030019,-0.8205826883609167,-2.4086968472387746,-1.1111762075392875,0.8205826883609167
MIMAT0019958,-1.9235642870132634,0.7889207558902408,-0.7889207558902408,-2.131641218146612
MIMAT0019918,-1.7683262835773488,0.9373877530996167,-2.2849556562955216,-0.9373877530996167
MIMAT0018083,-1.066341979850242,1.066341979850242,-2.077103785710477,-2.107566843943112
MIMAT0002875,-1.5551613824333712,1.5551613824333712,-1.7519829227146368,-2.344832452529706
MIMAT0009201,-2.286403078473978,1.4673220863390373,-1.9004919510603762,-1.4673220863390373
MIMAT0003326,-0.9046034442585552,-0.7266176603456251,-2.384276575703533,0.7266176603456251
MIMAT0018360,-2.190082998997831,1.6056279699605354,-1.6056279699605354,-2.0206346328739198
MIMAT0022698,-1.8071512777011363,-1.8813607768956486,1.8071512777011363,-2.2158956097849365
MIMAT0019737,0.3154001119060873,-2.179109058262733,-1.3806824222320144,-0.3154001119060873
MIMAT0031177,-1.1599640355077496,1.1599640355077496,-2.292644872782349,-1.8549204690166254
MIMAT0029782,-1.8289511771500457,-0.1570353807626406,-1.784487796056766,0.1570353807626406
MIMAT0018201,-0.6872704651438291,0.6872704651438291,-2.36809620409856,-1.2235078653417777
MIMAT0002835,-1.4649718995558414,1.4649718995558414,-2.3236811783718476,-1.8273827558299198
MIMAT0015069,-0.06331519524289046,0.06331519524289046,-2.10997665071349,-0.32712490812136735
MIMAT0027467,-0.23065621044044535,-2.1926179021204666,0.23065621044044535,-1.1667261687372779
MIMAT0019900,-2.1827489823818578,1.3597376268341939,-2.052448760063431,-1.3597376268341939
MIMAT0005930,-1.432377613954455,0.22594118853004178,-2.107944393344189,-0.22594118853004178
MIMAT0003287,-0.9449319957620879,-2.3379881083348057,0.9449319957620879,-1.6522034643738663
MIMAT0019201,-1.5126838615814777,0.4489049657233788,-0.4489049657233788,-2.1999901942608044
MIMAT0018356,-0.7774661063554583,-2.394676316672189,0.7774661063554583,-1.1999024278449186
