,Subtype_0,Subtype_1,Subtype_2,Subtype_3
REEP4,-1.228186047181456,-2.368082563569085,0.6891245555359772,-0.6891245555359772
RN7SL872P,-2.4132216369392587,0.8436465885234811,-1.1072861474370685,-0.8436465885234811
RNA5SP475,-1.8196520255647337,1.7474554260556618,-1.7474554260556618,-2.270198502226159
LINC00589,-2.1931744183088546,0.15510937497908028,-0.15510937497908028,-0.7090714284757952
KAT6A,-1.8283399726760379,0.16028260718668666,-1.7881528364264692,-0.16028260718668666
ADAMDEC1,-1.142884644031578,-2.134986309000732,0.11478421016132972,-0.11478421016132972
MIR4469,-1.9719218614828473,-0.35668032140779593,-1.8036675343916961,0.35668032140779593
FHIT,1.5774653745208325,-1.9982781465126527,-1.5774653745208325,-2.21202431641326
MIB1,-1.6510584502602355,1.6510584502602355,-2.223573125406402,-1.9588620390484972
GLIS3,-1.2437121998578544,-0.35823671976766924,-2.2389794985479314,0.35823671976766924
FNTA,-1.9231534934186312,-1.1121751005323364,-2.242288509137775,1.1121751005323364
CTAGE1,-1.6849132938482576,1.6849132938482576,-2.2691673442878098,-1.8639588899507011
RBPMS,-1.5492214425282216,-2.375472878543273,0.9590418453746133,-0.9590418453746133
FUT10,-1.0631571648818416,-2.2413173226964274,0.2964705453302153,-0.2964705453302153
LSM1,-0.934781454832051,-2.3163567575668793,-0.4683809620080086,0.4683809620080086
RBBP8,-1.7846990927453206,1.7846990927453206,-2.194869977186278,-1.9335759322831494
RN7SKP201,-1.0743983287850516,-2.3099564068878613,-0.4670867734515895,0.4670867734515895
CABLES1,-1.8458776298438568,1.8458776298438568,-2.1493584780773727,-1.9574514711061788
LAMA3,-1.950864808866138,1.920218368870485,-2.1084750717009246,-1.920218368870485
ADAM9,-1.872939931435914,0.48557701926116315,-2.0030052044522972,-0.48557701926116315
PPP1R1B,-1.5901428059086684,-0.041102016709189136,0.041102016709189136,-1.888735529731793
CCNE1,0.4747104611397873,-2.2834174080141665,-0.4747104611397873,-0.5608393633719007
C10orf11,-1.8368686545192694,1.7286356529903562,-2.2688342945498423,-1.7286356529903562
PLGRKT,-0.8952101938079722,-0.49388577484802093,-2.32416835222598,0.49388577484802093
TACC1,-2.097045520102464,0.8253817607725946,-1.9860748618590551,-0.8253817607725946
ZMAT4,-2.3541908249566523,-1.5184530820970406,-1.739894156569526,1.5184530820970406
CARM1P1,-0.9666851618906486,0.13071528918647116,-2.1731416827250865,-0.13071528918647116
NPC1,-1.88794310963582,1.88794310963582,-2.106657556998635,-1.9812612738439541
SMARCA2,-1.2788205478783805,-0.43991426847016296,-2.2683079467992773,0.43991426847016296
POP4,0.07650737242068063,-2.1443923527053625,-0.5097645238297582,-0.07650737242068063
CDK12,-1.666817150696664,-0.03980261502258581,0.03980261502258581,-1.8290249284188302
RANBP6,-0.9946815453763419,-0.7055060857927045,-2.3838389226980046,0.7055060857927045
OSBPL1A,-2.0284020388491153,1.8171101598023323,-1.8171101598023323,-2.1088941832478896
RN7SL412P,-1.6287733777593372,-0.1522549027035905,-1.950765940889749,0.1522549027035905
MED24,-1.5014469027527495,-2.3757224951360727,1.5014469027527495,-1.6795400789789818
KMT2C,-1.6438812346228413,-1.8869191173596884,-2.267931631441933,1.6438812346228413
GSDMB,-1.8306460830651174,-2.1285139203096115,1.8306460830651174,-1.9961282148676138
IMPACT,-2.114143248034792,1.8135840442281492,-1.8135840442281492,-2.0244659098360733
MIR320C1,-1.5525967737617767,1.5525967737617767,-2.1974841484433925,-2.023080644598679
KDM4C,-0.9691086972566576,-1.5505739156106524,-2.377344772957738,0.9691086972566576
DMRTA1,-1.7172418777249316,0.62577458256078,-2.1902110389627305,-0.62577458256078
RN7SL151P,-1.5273151184448166,0.4531683392837858,-2.1961234903752693,-0.4531683392837858
WIPF2,-1.464575114616974,-2.3689341497297516,1.464575114616974,-1.7126060736141493
ZNF536,-0.04212746211900635,-2.083203001784868,-0.24058730319526322,0.04212746211900635
GREB1L,-1.612058743677638,1.612058743677638,-2.2292328415634106,-1.9638479794725283
TNS4,-1.4394382071033105,-2.346617382431837,1.4394382071033105,-1.7777404412362403
HCN1,0.09055400578737925,-2.1153415751931797,-0.09055400578737925,-1.1659906269003502
MIR595,-1.967988553859684,-2.1980131900251014,-1.7171978047071104,1.7171978047071104
SMAD4,-1.844824488877471,1.844824488877471,-2.0119281563482563,-2.1077342590315067
LINC00906,-0.08961250873488828,-2.0379875875396594,0.02854324352296445,-0.02854324352296445
PARD3B,-1.9869100540048217,0.5964693413451976,-0.5964693413451976,-1.9692956031714457
PARP8,-0.21751234905447692,-2.2107164203900473,0.21751234905447692,-1.0122327932188862
CNTNAP2,-0.666195640574252,-2.3305555968563665,-1.395905696033761,0.666195640574252
DPP6,-1.5698286269025523,-1.8953222514870989,-2.2780315522681476,1.5698286269025523
LINC00662,0.08252148593722751,-2.128083496169442,-0.08252148593722751,-0.384021555472588
KMT2E,-0.5263715132008153,-2.3348732175034064,0.5263715132008153,-0.9371259852564691
HAP1,-1.0645383605185328,-2.43010002774924,1.0645383605185328,-1.372097294579503
DNAJB6,-1.637834097522079,-1.9034288160391732,-2.260321719046518,1.637834097522079
PGM5,-1.7554889754418335,1.7489288522152195,-2.2954691185324756,-1.7489288522152195
RNY1P8,-1.6059499133223714,1.6059499133223714,-2.3726648752128616,-1.6269702001459623
CLTA,-0.73213032952265,-1.501257992423313,-2.3247092046853544,0.73213032952265
KRAS,-2.205393449660177,-0.321464129950466,-1.30594802792377,0.321464129950466
WDR86,-1.512221727310431,-1.89962234958771,-2.283199939408305,1.512221727310431
MECOM,-1.2043199960616022,1.2043199960616022,-2.118008236699698,-2.1027267919904653
KLF5,-1.4511038991412117,1.4511038991412117,-2.425654569357001,-1.456567392737376
C9orf123,-0.8760051709950472,-0.30749569267581256,-2.2581714930879975,0.30749569267581256
PIBF1,-1.6274800460880439,1.4386146561242457,-2.39575747169078,-1.4386146561242457
RBM33,-1.4926522958726796,-1.900666590872045,-2.2844550371058236,1.4926522958726796
EXOC4,-1.369604796726113,-2.1208007794179977,-2.1208007794179977,1.369604796726113
MID1,-1.1381897822861768,-0.29483229300184094,-2.2296692158264224,0.29483229300184094
HES1,-1.018710968039455,1.018710968039455,-1.7915821610368108,-2.2957070115450042
KRT40,-1.0801263036123276,-2.383064001791806,1.0801263036123276,-1.6049206542679508
CTNND2,-0.4591042648808038,-2.0791947643647704,0.4591042648808038,-1.75077375628857
PIH1,-1.3727389138687527,-2.4429435227645957,1.3037054924441602,-1.3037054924441602
SNORD27|ENSG00000251699.1,-0.9054285385935337,-0.40594094668695874,-2.294950238372295,0.40594094668695874
ZNF710,-1.1335662303949523,-0.5130878727050836,0.5130878727050836,-2.3211118050944264
LPP,-1.149483317778203,1.149483317778203,-1.7490529711229916,-2.342166172008855
TUSC1,-1.2127556658151226,0.1278149353677701,-2.1249233004891814,-0.1278149353677701
RN7SKP40,-1.5157363563720976,1.5157363563720976,-1.6688045157703613,-2.377096287474138
ZNF521,-2.033312908726873,1.731335744064466,-1.731335744064466,-2.1435585402702912
LRCH3,-1.1644201600311337,1.1644201600311337,-1.75033072784341,-2.343877222855245
WDR70,-0.11498186508600938,-2.1481784311586174,0.11498186508600938,-1.0797722273019505
EZH2,-1.5316111272096202,-1.8983827496899728,-2.2817100356850633,1.5316111272096202
SNORA31|ENSG00000252580.1,-0.7270067650417619,-0.22216145814981778,-2.2216145814981765,0.22216145814981778
LINC00511,-1.1619679125193731,-0.10981235217216036,-2.1276143233356106,0.10981235217216036
