,0,1,2,3
PGA4,4.495374086378737,4.9634599999999995,5.13426875,4.737461904761905
LIPF,5.434927242524916,2.76714,5.005181250000001,5.772557142857143
GKN1,4.602321594684385,2.4943,7.421200000000001,5.3330738095238095
XIST,5.8160926910299,6.0824,4.6256125,6.539659523809523
PGC,10.094614285714286,10.60902,10.222806250000001,10.444816666666666
REG3A,5.953524252491694,7.673579999999999,8.20329375,6.286035714285713
RPS4Y1,6.8461106312292355,8.026060000000001,7.848987500000001,5.460357142857143
REG1A,9.7043292358804,10.339920000000001,12.07635625,9.811945238095237
C20orf114,7.635764119601328,7.6243,6.7435374999999995,8.093861904761905
MUC2,7.356199999999999,5.78942,9.556375,6.537516666666666
MUC6,9.35205415282392,9.516960000000001,9.55398125,8.677488095238097
OLFM4,11.640377408637875,14.877559999999999,13.93389375,11.617511904761905
DAZ1,4.199000664451827,5.36886,4.5902125,3.6858738095238097
FABP1,5.756221262458472,8.12484,8.7617625,6.093419047619047
TFF2,7.928231893687707,7.578059999999999,7.78501875,8.097095238095239
SI,5.574212956810632,7.13144,8.0299625,5.425766666666666
KRT20,6.666322923588039,6.8306,8.99779375,7.24847619047619
MAGEA6,3.5531777408637875,2.9920400000000003,4.8859625,4.60302619047619
REG4,10.226424252491693,11.337039999999998,12.4391625,10.043292857142857
GSTT1,7.573900332225915,8.099799999999998,5.95303125,8.145423809523809
PSCA,8.196895681063124,8.63764,7.63404375,8.861661904761904
SPRR3,3.324720265780731,2.5185,2.1790874999999996,3.785664285714286
DMBT1,10.575608637873755,12.360980000000001,12.69204375,11.467259523809524
KRT13,3.3710767441860465,3.1739,1.93530625,3.369216666666667
GIF,3.3483485049833885,2.64906,3.9048625,3.9389619047619044
CHGA,4.957001993355482,3.26432,6.718325,4.978019047619047
DPCR1,8.290993355481728,7.55454,8.11128125,8.775390476190475
CCL25,4.014901328903655,2.8708599999999995,5.067925,4.392740476190475
KRT6A,4.274581063122924,3.77228,2.68185625,4.251328571428571
MUC17,9.831709302325581,11.415600000000001,12.28956875,10.182580952380953
GSTM1,4.1782196013289035,2.02872,3.5347687499999996,3.6383095238095238
MUC5B,9.722529568106312,8.8328,8.4105,8.79409761904762
APOA4,2.837399003322259,3.20216,4.0989875,3.062002380952381
GP2,6.534010299003323,7.889619999999999,7.423881250000001,7.057180952380953
DES,10.676673754152825,10.8475,10.264637500000001,10.102688095238095
ANXA10,7.702931561461793,9.15098,8.156075,7.401528571428571
MSMB,5.178150830564784,2.56734,3.97945,5.668035714285714
APOB,4.9916003322259135,3.2495800000000004,5.957075,4.739473809523808
SLC6A19,6.062476744186046,6.7228200000000005,6.781118750000001,5.900071428571429
KRT4,2.6064249169435216,2.09258,1.7374625,2.8716309523809525
CXCL17,7.492385714285714,8.05874,6.73271875,7.871071428571428
CXCL5,8.527253488372091,8.562180000000001,10.7986625,9.318861904761905
REG1B,2.5107511627906978,3.65274,4.410556250000001,2.691157142857143
SPINK4,4.618980066445183,6.6433599999999995,6.7796062500000005,4.549916666666666
CLDN18,11.630244518272425,12.477619999999998,11.707875000000001,11.885
ITLN1,5.026660132890366,6.258660000000001,6.70494375,6.086149999999999
KLK6,6.943968106312292,7.87594,7.4026,6.408847619047618
CDX1,7.086187043189369,8.89058,9.4838625,6.973928571428572
VSIG1,8.251374418604652,7.28634,8.1565875,8.26662619047619
C6orf58,3.091366777408638,0.60914,4.34594375,3.4267214285714287
APOA1,4.8427607973421924,5.203,5.34010625,5.300571428571428
PIGR,12.728775083056478,11.18466,14.33170625,13.144973809523812
CLCA1,2.5926996677740863,2.3160000000000003,4.82260625,2.100190476190476
FER1L6,6.062745182724253,7.38488,7.336525,5.974223809523809
KRT5,3.5937518272425257,2.6549,2.38995,3.6037904761904764
AKR1B10,8.124882059800665,8.852500000000001,8.8202625,8.242066666666668
HMGCS2,8.456700664451828,9.38726,9.8779125,9.2368
KRT6B,4.990683388704319,5.3561,3.9429,4.838730952380952
TM4SF20,6.524240531561462,7.56218,9.093487499999998,6.370985714285713
MEP1A,5.360071428571429,7.0922,7.58203125,5.567616666666667
TFF1,10.294622259136213,10.24494,10.8372125,10.435135714285714
DSG3,5.3538312292358805,5.37606,6.3296375000000005,5.297259523809524
SLC26A3,4.015770764119601,3.51502,5.35378125,3.429207142857143
SLC28A2,3.3806501661129564,1.7069199999999998,4.60166875,4.669533333333334
PIK3C2G,5.199500996677741,5.88262,4.30676875,5.751202380952382
ATP4B,2.108924584717608,0.94076,1.7900375,2.425902380952381
RBP2,3.138263787375416,4.4222,4.457274999999999,3.1567880952380953
CPS1,8.275113289036545,7.08922,9.680518750000001,8.528269047619048
PHGR1,6.961805980066445,8.52974,8.081399999999999,7.355211904761905
SLC13A2,3.990093687707641,4.62658,4.8172749999999995,3.6915500000000003
LTF,7.898645182724253,8.049600000000002,7.7417750000000005,7.5489380952380944
AQP5,6.73338803986711,9.30162,6.07070625,6.139140476190477
DUOX2,9.046111627906978,12.58222,11.003237500000001,8.999492857142858
CTSE,11.590753488372092,13.013079999999999,10.66166875,11.42949761904762
RHCG,3.232539867109635,2.7035,4.29080625,3.6236642857142862
SMYD1,2.9193900332225913,2.82676,2.9269937500000003,2.5288380952380956
ALDOB,7.322692691029901,7.21422,8.65185625,7.731800000000001
LYPD2,3.706498006644519,4.01364,2.3528000000000002,3.2939571428571432
CHP2,4.356351495016612,2.5935,6.3726875,4.822566666666667
HOXC10,6.334147840531561,8.42746,6.463312500000001,6.494545238095237
LY6D,4.141044850498338,5.6999200000000005,2.43206875,3.6644571428571426
